project_id,ticket_id,user_id,project_name,title,description,required_skills,priority,status,deadline,members_needed,members,created,updated
3z1q7w9e,0001,PM-001,foodsavr_app,"Define MVP Feature List","Finalize the core features for the Minimum Viable Product.","Agile;Scrum;Roadmapping",high,done,2025-05-07T00:00:00.000Z,"Product Manager","Eli Vance",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
a8b2c3d4,0018,PM-001,foodsavr_app,"Write User Stories - Inventory","Create detailed user stories for inventory management features.","Agile;User Stories",high,done,2025-05-09T00:00:00.000Z,"Product Manager","Eli Vance",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
e5f6g7h8,0019,PM-001,foodsavr_app,"Write User Stories - Recipes","Create detailed user stories for recipe suggestion features.","Agile;User Stories",high,done,2025-05-09T00:00:00.000Z,"Product Manager","Eli Vance",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
i9j0k1l2,0020,PM-001,foodsavr_app,"Initial Tech Feasibility Study","Assess technical challenges and requirements based on MVP scope.","Node.js;React.js;MongoDB",medium,done,2025-05-10T00:00:00.000Z,"Team Manager;Backend Developer;Frontend Developer","Jordan Blaze;Mason Rivers;Aria Stone",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
m3n4o5p6,0021,PM-001,foodsavr_app,"Wireframe - Inventory Screen","Low-fidelity wireframe for the main inventory list/view.","Figma;Wireframing",high,done,2025-05-14T00:00:00.000Z,"UX/UI Designer","Nico Storm",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
q7r8s9t0,0022,PM-001,foodsavr_app,"Wireframe - Add/Edit Item","Low-fidelity wireframe for adding or editing inventory items.","Figma;Wireframing",high,done,2025-05-15T00:00:00.000Z,"UX/UI Designer","Nico Storm",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
u1v2w3x4,0023,PM-001,foodsavr_app,"Wireframe - Recipe Suggestions","Low-fidelity wireframe for displaying recipe ideas.","Figma;Wireframing",high,done,2025-05-16T00:00:00.000Z,"UX/UI Designer","Nico Storm",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
y5z6a7b8,0024,PM-001,foodsavr_app,"Create UI Style Guide","Define basic color palette, typography, and component styles.","Design Systems;Figma",medium,done,2025-05-20T00:00:00.000Z,"UX/UI Designer","Nico Storm",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
c9d0e1f2,0025,PM-001,foodsavr_app,"Design DB Schema (MongoDB)","Define collections and document structures for users, inventory, etc.","MongoDB;Database Design",high,done,2025-05-14T00:00:00.000Z,"Backend Developer","Mason Rivers;Kai Ember",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
g3h4i5j6,0026,PM-001,foodsavr_app,"Define API Endpoint Specs","Document request/response formats for all backend APIs.","API Development;Node.js",high,done,2025-05-16T00:00:00.000Z,"Backend Developer","Mason Rivers;Kai Ember",2025-05-02T11:00:00.000Z,2025-05-02T12:00:00.000Z
